weight:1.200000---avg:0.171560 mseX:0.040770 mseY:0.060110 mseS:0.050440
weight:1.200000---avg:0.172388 mseX:0.040998 mseY:0.059973 mseS:0.050486
weight:1.200000---avg:0.172774 mseX:0.041012 mseY:0.062466 mseS:0.051739
weight:1.200000---avg:0.172179 mseX:0.040917 mseY:0.060103 mseS:0.050510
weight:1.200000---avg:0.170383 mseX:0.041076 mseY:0.058735 mseS:0.049905
weight:1.200000---avg:0.173891 mseX:0.041840 mseY:0.060686 mseS:0.051263
weight:1.200000---avg:0.150829 mseX:0.033029 mseY:0.045237 mseS:0.039133
weight:1.200000---avg:0.150956 mseX:0.032927 mseY:0.044489 mseS:0.038708
weight:1.200000---avg:0.148686 mseX:0.032561 mseY:0.043511 mseS:0.038036
weight:1.200000---avg:0.150200 mseX:0.031822 mseY:0.044626 mseS:0.038224
weight:1.200000---avg:0.149811 mseX:0.032483 mseY:0.044828 mseS:0.038655
weight:1.200000---avg:0.150016 mseX:0.031709 mseY:0.046277 mseS:0.038993
weight:1.200000---avg:0.149407 mseX:0.031610 mseY:0.044346 mseS:0.037978
weight:1.200000---avg:0.148802 mseX:0.031476 mseY:0.044186 mseS:0.037831
weight:1.200000---avg:0.150978 mseX:0.031976 mseY:0.047100 mseS:0.039538
weight:1.200000---avg:0.148647 mseX:0.032382 mseY:0.043992 mseS:0.038187
weight:1.200000---avg:0.154587 mseX:0.033294 mseY:0.050292 mseS:0.041793
weight:1.200000---avg:0.150992 mseX:0.031895 mseY:0.046143 mseS:0.039019
weight:1.200000---avg:0.147933 mseX:0.031778 mseY:0.044262 mseS:0.038020
weight:1.200000---avg:0.150585 mseX:0.032295 mseY:0.045483 mseS:0.038889
weight:1.200000---avg:0.150373 mseX:0.032358 mseY:0.045342 mseS:0.038850
weight:1.200000---avg:0.151891 mseX:0.032682 mseY:0.045609 mseS:0.039145
weight:1.200000---avg:0.148733 mseX:0.031464 mseY:0.044678 mseS:0.038071
weight:1.200000---avg:0.149634 mseX:0.031075 mseY:0.045123 mseS:0.038099
weight:1.200000---avg:0.153007 mseX:0.033799 mseY:0.045430 mseS:0.039615
weight:1.200000---avg:0.152754 mseX:0.033221 mseY:0.045930 mseS:0.039575
weight:1.200000---avg:0.151495 mseX:0.032084 mseY:0.046819 mseS:0.039452
weight:1.200000---avg:0.147518 mseX:0.031605 mseY:0.043565 mseS:0.037585
weight:1.200000---avg:0.151023 mseX:0.032724 mseY:0.044997 mseS:0.038860
weight:1.200000---avg:0.153909 mseX:0.033131 mseY:0.047242 mseS:0.040187
weight:1.200000---avg:0.152586 mseX:0.033182 mseY:0.045945 mseS:0.039563
weight:1.200000---avg:0.151230 mseX:0.032642 mseY:0.046174 mseS:0.039408
weight:1.200000---avg:0.153706 mseX:0.032894 mseY:0.045332 mseS:0.039113
weight:1.200000---avg:0.152401 mseX:0.032708 mseY:0.045859 mseS:0.039283
weight:1.200000---avg:0.153302 mseX:0.033767 mseY:0.045635 mseS:0.039701
weight:1.200000---avg:0.152403 mseX:0.032555 mseY:0.046949 mseS:0.039752
weight:1.200000---avg:0.155924 mseX:0.033306 mseY:0.050283 mseS:0.041794
weight:1.200000---avg:0.152513 mseX:0.032632 mseY:0.047305 mseS:0.039969
weight:1.200000---avg:0.153873 mseX:0.033243 mseY:0.046940 mseS:0.040091
weight:1.200000---avg:0.153979 mseX:0.032649 mseY:0.048578 mseS:0.040614
weight:1.200000---avg:0.151301 mseX:0.032187 mseY:0.045949 mseS:0.039068
weight:1.200000---avg:0.154006 mseX:0.032895 mseY:0.047977 mseS:0.040436
weight:1.200000---avg:0.152106 mseX:0.032154 mseY:0.048055 mseS:0.040105
weight:1.200000---avg:0.151829 mseX:0.031715 mseY:0.048106 mseS:0.039910
