a:1.600000 yawdd:0.450000 laspx:0.120000 laspy:0.090000---avg:0.704950 mseX:0.741574 mseY:1.113183 mseS:0.927378
a:1.800000 yawdd:0.450000 laspx:0.120000 laspy:0.090000---avg:0.704950 mseX:0.741574 mseY:1.113183 mseS:0.927378
a:0.200000 yawdd:0.500000 laspx:0.120000 laspy:0.090000---avg:0.704950 mseX:0.741574 mseY:1.113183 mseS:0.927378
a:0.400000 yawdd:0.500000 laspx:0.120000 laspy:0.090000---avg:0.704950 mseX:0.741574 mseY:1.113183 mseS:0.927378
a:0.600000 yawdd:0.500000 laspx:0.120000 laspy:0.090000---avg:0.704950 mseX:0.741574 mseY:1.113183 mseS:0.927378
a:0.800000 yawdd:0.500000 laspx:0.120000 laspy:0.090000---avg:0.704950 mseX:0.741574 mseY:1.113183 mseS:0.927378
a:1.000000 yawdd:0.500000 laspx:0.120000 laspy:0.090000---avg:0.704950 mseX:0.741574 mseY:1.113183 mseS:0.927378
a:1.200000 yawdd:0.500000 laspx:0.120000 laspy:0.090000---avg:0.704950 mseX:0.741574 mseY:1.113183 mseS:0.927378
a:1.400000 yawdd:0.500000 laspx:0.120000 laspy:0.090000---avg:0.704950 mseX:0.741574 mseY:1.113183 mseS:0.927378
a:1.600000 yawdd:0.500000 laspx:0.120000 laspy:0.090000---avg:0.704950 mseX:0.741574 mseY:1.113183 mseS:0.927378
a:1.800000 yawdd:0.500000 laspx:0.120000 laspy:0.090000---avg:0.704950 mseX:0.741574 mseY:1.113183 mseS:0.927378
